[2024-12-25 03:48:40,271] INFO: {
    "abs_dir": "/home/diwang/siMLPe/exps/baseline_h36m",
    "batch_size": 256,
    "cos_lr_max": 1e-05,
    "cos_lr_min": 5e-08,
    "cos_lr_total_iters": 40000,
    "data_aug": true,
    "deriv_input": true,
    "deriv_output": true,
    "h36m_anno_dir": "/home/diwang/siMLPe/data/h36m/",
    "link_log_file": "/home/diwang/siMLPe/exps/baseline_h36m/log/log_last.log",
    "link_val_log_file": "/home/diwang/siMLPe/exps/baseline_h36m/log/val_last.log",
    "log_dir": "/home/diwang/siMLPe/exps/baseline_h36m/log",
    "log_file": "/home/diwang/siMLPe/exps/baseline_h36m/log/log_2024_12_25_03_48_24.log",
    "model_pth": null,
    "motion": {
        "dim": 66,
        "h36m_input_length": 100,
        "h36m_input_length_dct": 100,
        "h36m_target_length": 100,
        "h36m_target_length_eval": 100,
        "h36m_target_length_train": 100
    },
    "motion_fc_in": {
        "activation": "relu",
        "in_features": 66,
        "init_w_trunc_normal": false,
        "out_features": 66,
        "temporal_fc": false,
        "with_norm": false
    },
    "motion_fc_out": {
        "activation": "relu",
        "in_features": 66,
        "init_w_trunc_normal": true,
        "out_features": 66,
        "temporal_fc": false,
        "with_norm": false
    },
    "motion_mlp": {
        "hidden_dim": 66,
        "norm_axis": "spatial",
        "num_layers": 48,
        "seq_len": 100,
        "spatial_fc_only": false,
        "with_normalization": true
    },
    "num_workers": 8,
    "post_dct": false,
    "pre_dct": false,
    "print_every": 100,
    "repo_name": "siMLPe",
    "root_dir": "/home/diwang/siMLPe",
    "save_every": 2000,
    "seed": 304,
    "shift_step": 1,
    "snapshot_dir": "/home/diwang/siMLPe/exps/baseline_h36m/log/snapshot",
    "this_dir": "baseline_h36m",
    "use_relative_loss": true,
    "val_log_file": "/home/diwang/siMLPe/exps/baseline_h36m/log/val_2024_12_25_03_48_24.log",
    "weight_decay": 0.0001
}
[2024-12-25 03:48:49,994] INFO: Iter 100 Summary: 
[2024-12-25 03:48:49,994] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1995439600944519
[2024-12-25 03:48:57,326] INFO: Iter 200 Summary: 
[2024-12-25 03:48:57,326] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1800886160135269
[2024-12-25 03:49:04,709] INFO: Iter 300 Summary: 
[2024-12-25 03:49:04,709] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1610422757267952
[2024-12-25 03:49:11,902] INFO: Iter 400 Summary: 
[2024-12-25 03:49:11,902] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.14085563465952874
[2024-12-25 03:49:19,063] INFO: Iter 500 Summary: 
[2024-12-25 03:49:19,063] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.13630264684557913
[2024-12-25 03:49:26,298] INFO: Iter 600 Summary: 
[2024-12-25 03:49:26,298] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1333814749121666
[2024-12-25 03:49:35,075] INFO: Iter 700 Summary: 
[2024-12-25 03:49:35,075] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1320807182788849
[2024-12-25 03:49:42,770] INFO: Iter 800 Summary: 
[2024-12-25 03:49:42,771] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12961653038859366
[2024-12-25 03:49:50,091] INFO: Iter 900 Summary: 
[2024-12-25 03:49:50,091] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1293909001350403
[2024-12-25 03:49:57,151] INFO: Iter 1000 Summary: 
[2024-12-25 03:49:57,152] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12815996125340462
[2024-12-25 03:50:04,482] INFO: Iter 1100 Summary: 
[2024-12-25 03:50:04,482] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12655655175447464
[2024-12-25 03:50:11,781] INFO: Iter 1200 Summary: 
[2024-12-25 03:50:11,781] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12711355492472648
[2024-12-25 03:50:20,808] INFO: Iter 1300 Summary: 
[2024-12-25 03:50:20,809] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1268228243291378
[2024-12-25 03:50:28,096] INFO: Iter 1400 Summary: 
[2024-12-25 03:50:28,096] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12610258609056474
[2024-12-25 03:50:35,252] INFO: Iter 1500 Summary: 
[2024-12-25 03:50:35,252] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1254969321191311
[2024-12-25 03:50:42,751] INFO: Iter 1600 Summary: 
[2024-12-25 03:50:42,751] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12517928212881088
[2024-12-25 03:50:49,970] INFO: Iter 1700 Summary: 
[2024-12-25 03:50:49,970] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12458701819181442
[2024-12-25 03:50:57,251] INFO: Iter 1800 Summary: 
[2024-12-25 03:50:57,251] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12458088301122189
[2024-12-25 03:51:05,556] INFO: Iter 1900 Summary: 
[2024-12-25 03:51:05,556] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12420901440083981
[2024-12-25 03:51:13,335] INFO: Iter 2000 Summary: 
[2024-12-25 03:51:13,335] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12412627145648003
[2024-12-25 03:51:23,068] INFO: Iter 2100 Summary: 
[2024-12-25 03:51:23,068] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12269912898540497
[2024-12-25 03:51:30,659] INFO: Iter 2200 Summary: 
[2024-12-25 03:51:30,659] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1236847035586834
[2024-12-25 03:51:38,604] INFO: Iter 2300 Summary: 
[2024-12-25 03:51:38,604] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12324117243289948
[2024-12-25 03:51:45,624] INFO: Iter 2400 Summary: 
[2024-12-25 03:51:45,624] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12219065196812152
[2024-12-25 03:51:54,244] INFO: Iter 2500 Summary: 
[2024-12-25 03:51:54,245] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12254480354487896
[2024-12-25 03:52:01,692] INFO: Iter 2600 Summary: 
[2024-12-25 03:52:01,692] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12177441403269768
[2024-12-25 03:52:09,320] INFO: Iter 2700 Summary: 
[2024-12-25 03:52:09,320] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12195497617125511
[2024-12-25 03:52:16,663] INFO: Iter 2800 Summary: 
[2024-12-25 03:52:16,663] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1217366549372673
[2024-12-25 03:52:23,663] INFO: Iter 2900 Summary: 
[2024-12-25 03:52:23,664] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12167415715754032
[2024-12-25 03:52:31,530] INFO: Iter 3000 Summary: 
[2024-12-25 03:52:31,530] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12177971623837948
[2024-12-25 03:52:40,224] INFO: Iter 3100 Summary: 
[2024-12-25 03:52:40,225] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12136150054633617
[2024-12-25 03:52:47,632] INFO: Iter 3200 Summary: 
[2024-12-25 03:52:47,632] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12060289733111858
[2024-12-25 03:52:55,078] INFO: Iter 3300 Summary: 
[2024-12-25 03:52:55,078] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12100497752428055
[2024-12-25 03:53:02,717] INFO: Iter 3400 Summary: 
[2024-12-25 03:53:02,717] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12113000221550464
[2024-12-25 03:53:10,130] INFO: Iter 3500 Summary: 
[2024-12-25 03:53:10,131] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12003768071532249
[2024-12-25 03:53:17,538] INFO: Iter 3600 Summary: 
[2024-12-25 03:53:17,538] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12082296378910541
[2024-12-25 03:53:26,275] INFO: Iter 3700 Summary: 
[2024-12-25 03:53:26,276] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.12008809387683868
[2024-12-25 03:53:34,085] INFO: Iter 3800 Summary: 
[2024-12-25 03:53:34,086] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1201079086959362
[2024-12-25 03:53:41,503] INFO: Iter 3900 Summary: 
[2024-12-25 03:53:41,504] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1194724453240633
[2024-12-25 03:53:48,499] INFO: Iter 4000 Summary: 
[2024-12-25 03:53:48,499] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11970278330147266
[2024-12-25 03:53:57,947] INFO: Iter 4100 Summary: 
[2024-12-25 03:53:57,947] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11946839697659016
[2024-12-25 03:54:05,186] INFO: Iter 4200 Summary: 
[2024-12-25 03:54:05,186] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11877683199942111
[2024-12-25 03:54:13,871] INFO: Iter 4300 Summary: 
[2024-12-25 03:54:13,872] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11933270901441574
[2024-12-25 03:54:21,395] INFO: Iter 4400 Summary: 
[2024-12-25 03:54:21,395] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11851618930697441
[2024-12-25 03:54:28,591] INFO: Iter 4500 Summary: 
[2024-12-25 03:54:28,591] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11924696385860444
[2024-12-25 03:54:36,011] INFO: Iter 4600 Summary: 
[2024-12-25 03:54:36,011] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11838096417486668
[2024-12-25 03:54:43,243] INFO: Iter 4700 Summary: 
[2024-12-25 03:54:43,243] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11849354781210422
[2024-12-25 03:54:50,584] INFO: Iter 4800 Summary: 
[2024-12-25 03:54:50,585] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11848164364695549
[2024-12-25 03:54:59,050] INFO: Iter 4900 Summary: 
[2024-12-25 03:54:59,051] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11775454521179199
[2024-12-25 03:55:06,393] INFO: Iter 5000 Summary: 
[2024-12-25 03:55:06,393] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11754899263381959
[2024-12-25 03:55:13,469] INFO: Iter 5100 Summary: 
[2024-12-25 03:55:13,469] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11825336746871472
[2024-12-25 03:55:20,505] INFO: Iter 5200 Summary: 
[2024-12-25 03:55:20,506] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11731113016605377
[2024-12-25 03:55:28,342] INFO: Iter 5300 Summary: 
[2024-12-25 03:55:28,342] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11796168021857739
[2024-12-25 03:55:36,332] INFO: Iter 5400 Summary: 
[2024-12-25 03:55:36,333] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11743103303015232
[2024-12-25 03:55:44,839] INFO: Iter 5500 Summary: 
[2024-12-25 03:55:44,840] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11653276987373828
[2024-12-25 03:55:51,836] INFO: Iter 5600 Summary: 
[2024-12-25 03:55:51,836] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11710067301988601
[2024-12-25 03:55:59,368] INFO: Iter 5700 Summary: 
[2024-12-25 03:55:59,368] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11721434094011783
[2024-12-25 03:56:06,643] INFO: Iter 5800 Summary: 
[2024-12-25 03:56:06,643] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11666535511612892
[2024-12-25 03:56:14,153] INFO: Iter 5900 Summary: 
[2024-12-25 03:56:14,153] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11657687410712242
[2024-12-25 03:56:21,914] INFO: Iter 6000 Summary: 
[2024-12-25 03:56:21,914] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11668452203273773
[2024-12-25 03:56:32,493] INFO: Iter 6100 Summary: 
[2024-12-25 03:56:32,494] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11561713948845863
[2024-12-25 03:56:40,681] INFO: Iter 6200 Summary: 
[2024-12-25 03:56:40,681] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1160449294000864
[2024-12-25 03:56:48,452] INFO: Iter 6300 Summary: 
[2024-12-25 03:56:48,453] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11625935092568397
[2024-12-25 03:56:55,759] INFO: Iter 6400 Summary: 
[2024-12-25 03:56:55,759] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11557976000010967
[2024-12-25 03:57:03,514] INFO: Iter 6500 Summary: 
[2024-12-25 03:57:03,514] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11560101896524429
[2024-12-25 03:57:11,403] INFO: Iter 6600 Summary: 
[2024-12-25 03:57:11,403] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11500079721212388
[2024-12-25 03:57:20,128] INFO: Iter 6700 Summary: 
[2024-12-25 03:57:20,128] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11592424742877483
[2024-12-25 03:57:27,523] INFO: Iter 6800 Summary: 
[2024-12-25 03:57:27,524] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11522750355303288
[2024-12-25 03:57:35,085] INFO: Iter 6900 Summary: 
[2024-12-25 03:57:35,085] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11510683827102185
[2024-12-25 03:57:42,888] INFO: Iter 7000 Summary: 
[2024-12-25 03:57:42,888] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11468045011162759
[2024-12-25 03:57:50,414] INFO: Iter 7100 Summary: 
[2024-12-25 03:57:50,414] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11463494755327702
[2024-12-25 03:57:57,671] INFO: Iter 7200 Summary: 
[2024-12-25 03:57:57,671] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11507838167250156
[2024-12-25 03:58:06,277] INFO: Iter 7300 Summary: 
[2024-12-25 03:58:06,277] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11440256468951703
[2024-12-25 03:58:13,398] INFO: Iter 7400 Summary: 
[2024-12-25 03:58:13,398] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11444642364978791
[2024-12-25 03:58:20,926] INFO: Iter 7500 Summary: 
[2024-12-25 03:58:20,926] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11398156747221946
[2024-12-25 03:58:28,200] INFO: Iter 7600 Summary: 
[2024-12-25 03:58:28,200] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11460116848349572
[2024-12-25 03:58:35,742] INFO: Iter 7700 Summary: 
[2024-12-25 03:58:35,742] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11448159150779247
[2024-12-25 03:58:43,146] INFO: Iter 7800 Summary: 
[2024-12-25 03:58:43,147] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1136793378740549
[2024-12-25 03:58:51,864] INFO: Iter 7900 Summary: 
[2024-12-25 03:58:51,864] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11319458872079849
[2024-12-25 03:58:59,028] INFO: Iter 8000 Summary: 
[2024-12-25 03:58:59,028] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11376237504184246
[2024-12-25 03:59:08,187] INFO: Iter 8100 Summary: 
[2024-12-25 03:59:08,188] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11308933913707733
[2024-12-25 03:59:15,677] INFO: Iter 8200 Summary: 
[2024-12-25 03:59:15,677] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11274897068738937
[2024-12-25 03:59:22,930] INFO: Iter 8300 Summary: 
[2024-12-25 03:59:22,930] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11342026107013226
[2024-12-25 03:59:30,646] INFO: Iter 8400 Summary: 
[2024-12-25 03:59:30,646] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.112595699056983
[2024-12-25 03:59:39,457] INFO: Iter 8500 Summary: 
[2024-12-25 03:59:39,457] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11318452782928944
[2024-12-25 03:59:46,750] INFO: Iter 8600 Summary: 
[2024-12-25 03:59:46,751] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11340026892721652
[2024-12-25 03:59:54,497] INFO: Iter 8700 Summary: 
[2024-12-25 03:59:54,497] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11265231296420097
[2024-12-25 04:00:01,563] INFO: Iter 8800 Summary: 
[2024-12-25 04:00:01,563] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11274328403174877
[2024-12-25 04:00:08,783] INFO: Iter 8900 Summary: 
[2024-12-25 04:00:08,783] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1117511523514986
[2024-12-25 04:00:16,260] INFO: Iter 9000 Summary: 
[2024-12-25 04:00:16,260] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11184128925204277
[2024-12-25 04:00:25,223] INFO: Iter 9100 Summary: 
[2024-12-25 04:00:25,223] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11252054110169411
[2024-12-25 04:00:32,733] INFO: Iter 9200 Summary: 
[2024-12-25 04:00:32,733] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11193643607199193
[2024-12-25 04:00:40,444] INFO: Iter 9300 Summary: 
[2024-12-25 04:00:40,444] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11176332943141461
[2024-12-25 04:00:47,851] INFO: Iter 9400 Summary: 
[2024-12-25 04:00:47,851] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11158050067722797
[2024-12-25 04:00:55,097] INFO: Iter 9500 Summary: 
[2024-12-25 04:00:55,097] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11130003429949284
[2024-12-25 04:01:02,596] INFO: Iter 9600 Summary: 
[2024-12-25 04:01:02,597] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1112390262633562
[2024-12-25 04:01:11,218] INFO: Iter 9700 Summary: 
[2024-12-25 04:01:11,218] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11157672941684722
[2024-12-25 04:01:18,821] INFO: Iter 9800 Summary: 
[2024-12-25 04:01:18,821] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.1116062281280756
[2024-12-25 04:01:26,213] INFO: Iter 9900 Summary: 
[2024-12-25 04:01:26,214] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11091442823410035
[2024-12-25 04:01:33,715] INFO: Iter 10000 Summary: 
[2024-12-25 04:01:33,715] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11124087639153003
[2024-12-25 04:01:43,110] INFO: Iter 10100 Summary: 
[2024-12-25 04:01:43,110] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11057981342077255
[2024-12-25 04:01:50,848] INFO: Iter 10200 Summary: 
[2024-12-25 04:01:50,848] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11013533025979996
[2024-12-25 04:01:58,337] INFO: Iter 10300 Summary: 
[2024-12-25 04:01:58,337] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11099149420857429
[2024-12-25 04:02:06,934] INFO: Iter 10400 Summary: 
[2024-12-25 04:02:06,935] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11041419520974159
[2024-12-25 04:02:14,277] INFO: Iter 10500 Summary: 
[2024-12-25 04:02:14,277] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11047181025147439
[2024-12-25 04:02:21,875] INFO: Iter 10600 Summary: 
[2024-12-25 04:02:21,875] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11013916999101639
[2024-12-25 04:02:29,286] INFO: Iter 10700 Summary: 
[2024-12-25 04:02:29,286] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.11049876891076565
[2024-12-25 04:02:36,914] INFO: Iter 10800 Summary: 
[2024-12-25 04:02:36,914] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10984538532793522
[2024-12-25 04:02:44,567] INFO: Iter 10900 Summary: 
[2024-12-25 04:02:44,567] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10955839991569519
[2024-12-25 04:02:53,402] INFO: Iter 11000 Summary: 
[2024-12-25 04:02:53,402] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10939610533416272
[2024-12-25 04:03:01,352] INFO: Iter 11100 Summary: 
[2024-12-25 04:03:01,352] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10919238485395909
[2024-12-25 04:03:08,906] INFO: Iter 11200 Summary: 
[2024-12-25 04:03:08,906] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10989135555922985
[2024-12-25 04:03:16,230] INFO: Iter 11300 Summary: 
[2024-12-25 04:03:16,230] INFO: 	 lr: 0.00030000000000000073 	 Training loss: 0.10950529873371125
[2024-12-25 04:03:23,376] INFO: Iter 11400 Summary: 
